244,1054,3,880609089
114,318,3,881259495
846,67,4,883950252
104,313,4,888441878
566,273,5,881650063
391,182,4,877399696
65,210,4,879217913
718,121,4,883348773
304,682,3,884967520
681,1394,5,885409742
391,510,5,877399066
343,546,1,876403348
556,286,4,882135437
897,477,3,879993315
379,178,5,880741811
826,651,4,885690526
709,92,4,879848397
290,720,3,880475695
545,692,3,879900654
476,738,3,883364812
87,684,5,879875774
327,154,4,887747337
270,281,5,876956137
930,117,3,879534803
347,98,5,881654359
622,24,4,882590367
846,91,4,883948417
243,7,3,879987362
271,520,5,885848615
246,223,5,884921033
592,250,4,882608145
532,79,5,889235367
624,123,3,879793223
896,51,2,887159951
425,1596,2,878738695
751,737,4,889298945
343,82,5,876405735
875,1422,3,876465274
748,813,4,879454497
234,358,1,891034007
592,1073,5,882956276
22,403,5,878887810
532,898,4,884594575
932,431,3,891250944
115,176,5,881171203
846,665,4,883950434
664,478,5,878090415
95,1229,2,879198800
926,340,4,888351623
82,183,3,878769848
533,609,4,879191184
53,174,5,879442561
639,1065,1,891239030
297,168,5,875049192
786,404,4,882843500
99,174,5,885679705
395,739,3,886481149
64,196,4,889737992
294,346,3,889241377
846,94,4,883950711
62,15,2,879372634
301,77,3,882076751
210,692,4,887736796
592,833,4,882608662
450,622,5,882468239
486,124,5,879874545
363,212,1,891497278
98,428,5,880498834
321,56,4,879438651
756,409,2,874830998
486,1176,3,879874388
130,202,5,875216507
328,582,5,885045844
393,473,3,887745135
151,131,5,879525075
374,4,2,880395924
716,142,3,879797555
659,521,5,891384499
768,476,4,883834705
44,5,4,878347598
276,433,4,874791960
58,134,5,884304766
502,271,5,883702088
83,413,1,891182379
709,187,5,879847945
654,70,4,887864663
703,25,3,875242683
669,151,5,892549370
411,720,3,891035761
670,945,4,877975285
409,367,3,881109264
125,28,4,879454385
18,178,3,880129628
666,7,4,880313329
344,597,2,884900454
932,195,4,891250643
642,78,3,886570084
128,216,5,879967102
301,420,3,882077285
305,770,3,886324521
930,153,2,879535685
637,475,1,882903191
447,294,4,878855082
337,135,5,875236512
363,183,4,891494835
798,554,2,875638884
782,1254,3,891499829
100,887,2,891374868
828,1073,4,891036630
303,283,3,879467936
264,1225,3,886123530
528,202,5,886101846
446,245,4,879787226
249,79,5,879572777
914,451,2,887122085
792,13,4,877910822
665,147,4,884291057
25,657,4,885852720
535,197,5,879618288
48,289,1,879434252
452,514,3,875261350
92,425,4,875812898
452,210,4,875561852
276,5,3,874792692
784,312,3,891387623
279,1012,5,875298447
501,840,4,883348655
285,150,5,890595636
896,234,4,887157925
211,455,3,879461498
901,196,4,877288864
299,47,4,877881508
410,303,3,888626583
846,180,5,883947630
560,122,3,879977081
94,1221,3,891721216
62,167,2,879376727
405,712,1,885547506
49,50,1,888067691
738,455,4,875350551
199,286,5,883782485
406,48,5,879792811
145,717,3,888398702
749,1028,4,878849149
881,630,4,876539187
313,744,3,891016986
250,338,4,883263374
5,407,3,875635431
92,1210,1,875907179
647,147,4,876532975
908,300,3,879722076
7,118,2,891353411
932,1020,5,891249621
236,255,3,890116747
450,966,4,882377861
399,545,2,882345164
5,457,1,879198898
848,421,5,887043777
274,118,4,878945711
919,193,2,875373471
586,241,4,884061623
94,1188,3,891723525
535,185,4,879617931
440,70,4,891577950
360,271,2,880354839
790,864,4,884462647
110,688,1,886987605
379,157,4,880961600
21,370,1,874951293
524,82,4,884636583
561,277,3,885809223
379,649,4,880525084
871,27,2,888193275
271,494,4,885848770
546,769,4,885141465
757,235,3,888444935
84,276,4,883449944
332,984,2,887916411
500,1,4,883865021
494,748,1,879540720
321,182,3,879439679
709,569,3,879848209
458,654,5,886397771
593,223,5,888872089
905,321,4,884983463
405,1305,1,885547644
207,411,3,877750701
151,197,5,879528710
216,69,5,880235229
489,908,5,891446623
39,302,5,891400188
131,285,5,883681723
131,14,5,883681313
554,204,5,876550610
427,874,5,879701326
573,528,4,885843928
597,289,5,875338983
184,629,3,889911162
841,300,4,889066780
174,155,4,886513767
536,720,4,882361207
450,642,4,882397939
279,66,2,882146492
907,202,5,880160204
472,150,3,875978686
561,433,1,885808867
486,304,3,879874186
84,823,3,883452672
13,572,2,882398255
52,741,4,882922302
460,279,2,882912316
884,146,3,876858877
722,696,4,891281570
425,157,2,878738149
507,250,5,889966024
269,508,4,891446265
311,495,4,884366066
537,19,4,886030051
43,172,4,883955135
698,404,1,886368545
484,73,4,891195199
433,246,4,880585885
436,628,5,887770457
280,1182,3,891702214
665,1315,4,884291413
743,879,4,881277656
159,121,3,880486071
90,198,5,891383204
11,561,2,891905936
474,252,4,887916567
318,229,1,884497318
543,86,4,876896210
796,665,2,893048622
251,237,5,886272346
248,176,5,884534808
378,197,3,880056423
717,260,1,884641911
174,29,2,886514469
123,321,4,879809220
334,450,1,891550338
326,837,4,879875507
193,690,4,889123221
123,182,4,879872671
496,56,5,876066009
456,1547,4,881373948
747,96,5,888639397
94,47,5,891720498
774,501,1,888558019
655,354,2,891667570
203,24,4,880434359
885,549,3,885714409
846,792,4,883948221
294,413,3,889242166
698,478,4,886366814
773,1529,5,888539120
666,692,3,880568505
537,988,1,886029488
811,301,5,886377530
81,476,2,876534124
106,313,4,888706075
763,133,3,878923609
239,317,5,889179291
13,694,4,890704999
250,234,3,878091736
257,921,5,883982173
854,156,3,882813574
708,993,4,877325349
804,1139,3,879446145
857,283,5,883432633
249,117,4,879640414
629,886,3,880116278
883,661,4,891718914
864,619,3,888889327
877,475,4,882677085
178,274,4,882824253
479,272,4,889125255
419,28,3,879435663
59,747,4,888205410
533,4,3,888845066
145,150,5,875270655
830,625,3,891561541
128,371,1,879966954
409,192,4,881107666
110,403,3,886988134
293,17,2,888907335
100,752,4,891375146
221,544,4,875244512
372,547,5,876869481
919,331,4,875920290
236,696,2,890117223
524,182,5,884635031
878,166,4,880870854
869,846,2,884492201
741,288,4,891018070
416,1119,5,893214225
650,571,3,891387915
60,735,5,883327711
168,282,5,884287394
838,945,4,887065917
256,323,5,882150193
244,216,4,880605869
11,719,3,891905279
20,186,3,879669040
482,249,2,887644102
293,317,4,888906193
240,898,5,885775770
250,140,3,878092059
643,546,3,891445660
540,111,4,882157148
390,300,5,879693770
734,496,5,891025523
454,705,3,881959818
387,942,4,886483906
85,160,3,879454075
521,17,1,885254888
279,1494,1,889232401
823,13,5,878438642
206,343,1,888179788
611,353,3,891636125
57,194,4,883698272
914,387,3,887124121
297,154,5,875239658
912,648,3,875966616
250,1073,5,878090114
383,641,4,891192778
62,56,5,879373711
758,462,4,881975687
535,135,3,879617978
486,405,4,879875040
